5.9756,158.45,231.01,255.68,153.91,309.16,160.58,156.61,152.29,158.04,62.114
17.672,65.092,266.56,114.69,54.121,114.96,55.697,58.306,55.925,63.87,26.639
6.2288,69.07,175.79,120.98,64.458,177.63,65.641,66.277,60.532,61.9,25.946
31.895,34.28,34.309,26.676,18.411,68.22,37.254,19.44,27.972,34.021,8.1203
15.608,4.1093,2.6045,7.8409,3.7612,157.39,1.9698,3.1047,7.6414,3.4326,2.4349
3.5427,132.63,12.543,2.4413,1.9529,88.329,133.36,12.836,125.44,158.04,2.3851
13.678,73.519,5.2771,9.4713,7.1738,109.77,61.213,25.922,60.139,65.644,30.175
15.021,35.788,9.3276,12.817,14.747,203,44.337,76.705,31.169,39.768,9.8933
5.4467,21.081,4.8546,2.6581,3.3924,247.71,17.135,26.69,17.839,28.81,13.375
19.565,42.295,11.426,8.5608,8.5989,114.52,28.285,48.813,36.492,37.23,3.5983
18.545,83.493,12.777,24.175,6.5912,21.25,84.966,88.368,69.408,95.226,14.893
41.738,86.519,17.753,18.075,12.346,26.005,47.68,41.603,38.216,43.134,5.0306
28.383,109.75,18.512,11.638,103.12,53.262,105.73,110.94,105.9,114.08,7.9516
5.5151,20.89,217.03,71.518,13.591,102.01,13.986,35.469,17.419,27.463,10.464
11.215,23.171,168.77,3.4321,11.065,90.775,16.954,31.503,13.986,30.434,3.449
35.841,37.374,264.41,3.7648,12.839,134.31,10.833,23.972,21.412,32.075,28.515
24.098,40.641,116.09,21.098,31.069,113.52,58.823,45.434,51.41,47.548,33.958
4.954,22.665,98.596,3.2784,40.182,46.007,64.714,39.156,25.688,42.685,17.508
8.3849,33.457,95.851,15.513,46.358,13.097,35.351,24.081,25.692,67.941,2.7409
4.4486,103.24,157.02,17.392,79.015,4.2944,94.128,89.619,86.185,96.786,3.2037
22.924,58.25,72.299,28.422,11.909,6.939,26.142,38.694,32.724,54.047,5.5537
63.876,29.106,204.24,65,12.424,9.6615,24.765,29.912,22.531,33.271,11.443
35.23,74.225,175.94,58.734,16.07,23.268,34.442,30.848,51.508,65.334,4.5457
21.636,52.982,118.71,103.62,56.504,46.128,58.432,60.35,57.579,51.201,12.609
25.617,30.063,178.25,100.26,12.786,160.99,26.828,30.692,51.781,28.678,11.392
10.48,43.857,98.305,96.938,39.355,121.88,30.729,32.301,37.194,40.022,7.9333
7.657,52.617,257.89,131.64,84.957,40.684,70.055,54.764,62.354,60.291,7.4261
23.163,44.025,116.22,63.415,43.854,2.2554,50.777,53.589,30.668,46.648,6.2199
6.8079,29.059,191.22,56.345,14.678,43.184,29.599,43.965,29.914,61.035,8.2086
11.076,16.094,229.9,67.781,20.589,10.952,26.298,23.843,34.414,36.739,3.8143
8.1594,93.469,306.54,75.025,75.267,15.17,32.433,39.667,64.092,39.771,14.682
167.84,16.033,195.42,40.789,12.531,18.385,48.349,12.773,27.802,30.34,22.711
24.469,52.572,179.21,34.243,41.878,26.792,30.541,38.498,49.836,59.143,21.194
25.557,12.524,169.51,24.051,6.678,2.8142,55.829,45.371,22.17,28.136,3.6253
18.318,14.799,243,19.653,11.482,12.504,66.966,45.245,19.742,49.842,10.455
16.932,31.477,301.37,7.2962,22.367,31.402,52.021,34.999,29.807,55.556,13.818
44.534,50.415,122.87,58.357,33.147,97.336,81.964,44.32,48.847,72.547,13.997
87.116,48.158,209.57,16.907,41.279,35.272,28.101,27.8,31.136,29.338,29.041
11.471,64.408,81.472,52.834,43.431,4.4134,55.285,31.67,39.044,16.944,155.24
14.134,35.849,156.19,52.582,34.803,92.584,18.719,51.743,41.662,47.08,29.835
15.141,15.992,144.23,21.318,15.905,7.5814,19.441,20.815,6.4355,40.915,83.248
15.73,2.2919,179.5,16.182,32.159,2.8965,28.896,36.649,20.25,57.649,92.796
61.92,49.102,81.276,37.094,40.691,46.894,35.004,46.473,21.711,33.991,44.276
